Reviewer Name,Review Title,Review Text,Verified Purchase,product_color,product_size,product_name
Cyber Naskar,Worth the price,"I migrated to iOS after using Android for more than 8 years. I am a standard mobile user, I do not play games on my phone and neither do I keep browsing social media for ages. The only things that I use my phone are for calling, whatsapp, taking notes, some light photography and watching videos. The most heavily used activity on my phone is watching videos on youtube.

With all these activities being done, my weekly average screen on time is 2-3 hours. I am satisfied with the battery life. It has been around 3 months of usage and the battery capacity is still 100%. With heavy usage, the phone lasts 6 hours give or take a few minutes, and with medium usage this goes way higher.
The standby time is excellent on this device. I have had instances where I used my phone for a total of 2-3 hours but a single charge lasted more than 36 hours.

All in all, I can confidently say that I am very happy with the security features the phone offers and I am happy with my purchase.",Yes,Black,128GB,iPhone 12
B K Danta,This is a very good phone. The seller is reliable.,"iPhone 12 is a good product. If you are not obsessed with the ‘latest and the best’ type of phone, go for any apple phone on the list. I chose 12 because it is 5 G compliant. If you are a price watcher, this is perhaps the best time to buy this one. I bought my phone earlier this month, and the price has dropped by one thousand rupees since then! But I am happy with the phone. Apple phones are expensive, but once you use an iPhone, you may not wish to use any other phone. I have been using a 5S for ten years. Only recently I changed the battery. It still looks good and works fine. You may take a couple of days to get used to the new device. 128 prices have dropped, 64 prices have remained almost the same since early October. This seller is good. Initially I was a bit unsure about buying it online, but if you live in a small city even buying from an apple store is almost like online buying. Go for it. Too early to comment on battery life. For best results, keep your iPhone phone on low battery mode, except while charging.",Yes,Black,128GB,iPhone 12
Achintya Aviral,Just Wow....,"I have been using iPhone SE 2020 since last year which has been a great experience for me. Now that I bought IPhone 12 it is also a great phone with so many features. But the best thing I have experienced is the camera quality. It is way much better than any other phone at this rate. I bought this phone in Great Indian Sale and bought only for 47 K which is also been a benefit for me. It's build quality is good and it is light weighted, lighter than Iphone SE 2020. The processor is fast but the battery back up is not up to the mark. It goes from 100 to 20 in a day use and I am not using it much so the battery is not that good. I also have to buy the 20w charger and it is really charging fast. When you are holding the phone it will make you feel premium. The phone hasn't lag since one month use. It will regularly get updates which is great. Other than battery backup there is nothing you will regret about the phone. Overall an iphone is and iphone. At least you will look rich.",Yes,Blue,128GB,iPhone 12
Abhishek,A Nice product with lot of restrictions,"iP12 feels premium, sturdy, has nice camera and quick gps maps response.

I am a Google Pixel 2 user since 4.5 years so I will mention where I like/dislike this phone over pixel-2.

1- iP 12 Feels premium
2- Gps map response is awesome
3- so many restrictions in user interface and controls, pixel is way better
4- both have awesome camera quality
5- pixel is more handy to use
6- Pixel response is a lot better in low signal areas
7- bluetooth range is awesome in iP12
8- typing and keyboard experience is better in pixel
9- Noise cancellation is much better in my 4.5yrs old Pixel-2 compared to iP
10- Last but not least, pixel's day to day usage experience is a lot easy and smooth as compared to lot of restrictions and complicated response of iP12.

So if your usage is simple and you want to have feeling of premium product, go for iP.

My next phone will be Pixel again..",Yes,,,
Gauravramola,😀😀😀😀,🤗🤗🤗🤗🤗,Yes,,,
Abhishek James,For first time iPhone Users,"When the iPhone 11 prices were announced, I was in a dilemma whether to go for the 11 or wait for 12. And since it was my first iPhone, I thought why not get the 12. The logic being: The phone will last for a couple of years (provided you don't drop it often), and if you are looking for a phone for a long time horizon, then go for the 12. This one with the better chip and the display will be able to handle the upcoming updates as well the apps which will get even more intensive in the future.
All technical specs are really good, display is an OLED one, even visible in extreme sunlight. Build quality is miles apart, my brother uses a Samsung Galaxy Note 10+, and holding this one is way way out of the leagues of all the android phones. Processor and RAM are capable of even running multiple intensive applications, I had Adobe LightRoom, iMovie, and a couple of apps open, all to slide between them seamlessly. The trick here is that since apps are only made for a very few iPhones and iOS versions, these apps are hardware integrated, hence work better. A classic example is Instagram. Instagram does feel a bit more polished on the iPhone than android. FaceID even works when there's no light, so thats that. But it can't identify you with the mask, you're left to the PIN when you're in the outside.
The Battery: Yes it has a smaller battery, yes with intensive use it will run out in a day, but if you are a bit prudent with it, it'll definitely last for more than a day. I use 4G in between, outdoor photography a bit, editing, email, Apple Music, Youtube, WhatsApp and Instagram. By the end of the day (7:00 PM) , I usually have 40 percent remaining.

So yes, its an iPhone and yes its really something nice to hold and use daily.",Yes,Black,128GB,iPhone 12
s3r,Best selling phone in the world!!!,"No wonder Apple makes some of the best phones in the world. Iphone 12 deservedly is the highest selling phone.

I was upgrading from iphone 7 which served me well for 4 years, which I exchanged for this.

The delivery & exchange formalities were smooth.

The phone itself is surely an upgrade when compared to 7, the display is top notch, the camera is probably the best there is, the face unlock works like a charm, what's to say about the best phone, it works even better than advertised.

The only problem like always is the battery which hardly lasts a day & charging time is also an issue, it tends to heat up a little while charging but with the previous experience with iphone 7, the longevity of the phone is guaranteed with the timely updates from Apple, the premium which an iphone demands stands justified with a superior product.

Some people tried to discourage me from buying an iphone from Amazon claiming warranty & support issues. But there's no substance to such things. I confirmed the warranty & product registration from Apple, it's as advertised.

Since most of us are going to use it for a longer period of time, it's prudent to opt for the extended warranty offered by Apple which costs around 16500 which gives us an extended year of warranty. Do remember to do this within 3 months of your purchase.",Yes,Black,128GB,iPhone 12
Vineeth,Good,Good,Yes,Blue,128GB,iPhone 12
Suman Remaniche,The best Iphone in the budget.,"IPhone 12 is probably the best option to start or enter into the ios ecosystem.Here are the advantages of iphone 12:
1.The best camera phone,photos are amazing nad the video quality is even more better.
2.The performance is just top notch.No complaints at all.
3.The IOS is best at everything.No lags at all or almost.
4.The display is just amazing.It could feel a bit small, if you are shifting from an android,but the display quality is great.

Here are a few disadvantages:
1.The battery will last a whole day only if you are a moderate to light user.
2.The file transfer to an android device is a big hassle.

Conclusion: It is a very good device if you don't play too much games or use camera all day, as the battery will not last.
For me it is the best.",Yes,,,
Manjula,Honest review after 30-40 Days,"Switched to IOS for the first time, was really very excited to get the iphone 12.
Display is stunning but might feel small if ur switching from a 6.5inch android
Speakers are amazing they are loud, clear and have dolby effects.
Build quality is superb which is expected from apple
Face id might sound a bit concerning but its well integrated and works flawlessly.
Camera is simply superb for a 2020 phone the video quality is unmatched.
Haptics are flagship level.

Cons-
battery isnt that good and needs to be charged once a day at the least sometimes even 2 times.
no charger in box had to purchase 20w charger for 1.8k
provided cable doesnt feel very sturdy
IOS 16 is filled with bugs and degraded battery life compared to ios 15( at the time of review)
The network reception isnt that great (cellular) wifi is great",Yes,,,
santhosh reddy,Good,Good,Yes,,,
Dharmendra Singh (Ranjay),Get Easy,Good and genuine product,Yes,,,
